,cluster_id,galaxy_id
199,1995,NGC_628C
200,2000,NGC_628C
201,2022,NGC_628C
202,2027,NGC_628C
203,2028,NGC_628C
204,2033,NGC_628C
205,2050,NGC_628C
206,2064,NGC_628C
207,2066,NGC_628C
208,2069,NGC_628C
209,2079,NGC_628C
210,2080,NGC_628C
211,2084,NGC_628C
212,2085,NGC_628C
213,2099,NGC_628C
214,2108,NGC_628C
215,2109,NGC_628C
216,2113,NGC_628C
217,2117,NGC_628C
218,2133,NGC_628C
219,2136,NGC_628C
220,2138,NGC_628C
221,2147,NGC_628C
222,2150,NGC_628C
223,2152,NGC_628C
224,2158,NGC_628C
225,2164,NGC_628C
226,2170,NGC_628C
227,2174,NGC_628C
228,2180,NGC_628C
229,2182,NGC_628C
230,2184,NGC_628C
231,2190,NGC_628C
232,2192,NGC_628C
233,2198,NGC_628C
234,2207,NGC_628C
235,2210,NGC_628C
236,2215,NGC_628C
237,2220,NGC_628C
238,2225,NGC_628C
239,2230,NGC_628C
240,2238,NGC_628C
241,2244,NGC_628C
242,2247,NGC_628C
243,2253,NGC_628C
244,2257,NGC_628C
245,2258,NGC_628C
246,2262,NGC_628C
247,2278,NGC_628C
248,2281,NGC_628C
249,2283,NGC_628C
250,2291,NGC_628C
251,2314,NGC_628C
252,2317,NGC_628C
253,2320,NGC_628C
254,2321,NGC_628C
255,2329,NGC_628C
256,2337,NGC_628C
257,2339,NGC_628C
258,2341,NGC_628C
259,2365,NGC_628C
260,2369,NGC_628C
261,2372,NGC_628C
262,2384,NGC_628C
263,2387,NGC_628C
264,2394,NGC_628C
265,2400,NGC_628C
266,2401,NGC_628C
267,2402,NGC_628C
268,2405,NGC_628C
269,2409,NGC_628C
270,2426,NGC_628C
271,2442,NGC_628C
272,2443,NGC_628C
273,2451,NGC_628C
274,2457,NGC_628C
275,2458,NGC_628C
276,2460,NGC_628C
277,2464,NGC_628C
278,2482,NGC_628C
279,2492,NGC_628C
280,2527,NGC_628C
281,2528,NGC_628C
282,2536,NGC_628C
283,2579,NGC_628C
284,2582,NGC_628C
285,2584,NGC_628C
286,2586,NGC_628C
287,2591,NGC_628C
288,2607,NGC_628C
289,2610,NGC_628C
290,2614,NGC_628C
291,2617,NGC_628C
292,2639,NGC_628C
293,2641,NGC_628C
294,2644,NGC_628C
295,2648,NGC_628C
296,2652,NGC_628C
297,2657,NGC_628C
298,2670,NGC_628C
299,2671,NGC_628C
300,2681,NGC_628C
301,2683,NGC_628C
302,2684,NGC_628C
303,2692,NGC_628C
304,2693,NGC_628C
305,2707,NGC_628C
306,2717,NGC_628C
307,2721,NGC_628C
308,2733,NGC_628C
309,2735,NGC_628C
310,2737,NGC_628C
311,2739,NGC_628C
312,2745,NGC_628C
313,2746,NGC_628C
314,2750,NGC_628C
315,2760,NGC_628C
316,2774,NGC_628C
317,2775,NGC_628C
318,2779,NGC_628C
319,2785,NGC_628C
320,2786,NGC_628C
321,2793,NGC_628C
322,2798,NGC_628C
323,2847,NGC_628C
324,2857,NGC_628C
325,2859,NGC_628C
326,2861,NGC_628C
327,2869,NGC_628C
328,2879,NGC_628C
329,2882,NGC_628C
330,2891,NGC_628C
331,2892,NGC_628C
332,2905,NGC_628C
333,2929,NGC_628C
334,2932,NGC_628C
335,2948,NGC_628C
336,2969,NGC_628C
337,2991,NGC_628C
338,2999,NGC_628C
339,3012,NGC_628C
340,3015,NGC_628C
341,3026,NGC_628C
342,3033,NGC_628C
343,3057,NGC_628C
344,3069,NGC_628C
345,3070,NGC_628C
346,3086,NGC_628C
347,3092,NGC_628C
348,3094,NGC_628C
349,3117,NGC_628C
350,3119,NGC_628C
351,3121,NGC_628C
352,3126,NGC_628C
353,3212,NGC_628C
354,3215,NGC_628C
355,3222,NGC_628C
356,3244,NGC_628C
357,3246,NGC_628C
358,3249,NGC_628C
359,3261,NGC_628C
360,3268,NGC_628C
361,3328,NGC_628C
362,3370,NGC_628C
363,3377,NGC_628C
364,3390,NGC_628C
365,3399,NGC_628C
366,3414,NGC_628C
367,3427,NGC_628C
368,3441,NGC_628C
369,3451,NGC_628C
370,3468,NGC_628C
371,3494,NGC_628C
372,3517,NGC_628C
373,3531,NGC_628C
374,3536,NGC_628C
375,3549,NGC_628C
376,3550,NGC_628C
377,3551,NGC_628C
378,3556,NGC_628C
379,3559,NGC_628C
380,3563,NGC_628C
381,3568,NGC_628C
382,133,NGC_628C
383,140,NGC_628C
384,149,NGC_628C
385,152,NGC_628C
386,159,NGC_628C
387,205,NGC_628C
388,213,NGC_628C
389,219,NGC_628C
390,225,NGC_628C
391,252,NGC_628C
392,294,NGC_628C
393,342,NGC_628C
394,347,NGC_628C
395,440,NGC_628C
396,563,NGC_628C
397,637,NGC_628C
398,673,NGC_628C
399,707,NGC_628C
400,729,NGC_628C
401,742,NGC_628C
402,789,NGC_628C
403,793,NGC_628C
404,795,NGC_628C
405,813,NGC_628C
406,818,NGC_628C
407,832,NGC_628C
408,877,NGC_628C
409,905,NGC_628C
410,916,NGC_628C
411,957,NGC_628C
412,998,NGC_628C
413,1048,NGC_628C
414,1052,NGC_628C
415,1068,NGC_628C
416,1086,NGC_628C
417,1151,NGC_628C
418,1170,NGC_628C
419,1177,NGC_628C
420,1211,NGC_628C
421,1251,NGC_628C
422,1259,NGC_628C
423,1261,NGC_628C
424,1274,NGC_628C
425,1291,NGC_628C
426,1294,NGC_628C
427,1345,NGC_628C
428,1370,NGC_628C
429,1371,NGC_628C
430,1445,NGC_628C
431,1508,NGC_628C
432,1560,NGC_628C
433,1583,NGC_628C
434,1604,NGC_628C
435,1612,NGC_628C
436,1613,NGC_628C
437,1624,NGC_628C
438,1696,NGC_628C
439,1736,NGC_628C
440,1747,NGC_628C
441,1765,NGC_628C
442,1769,NGC_628C
443,1780,NGC_628C
444,1785,NGC_628C
445,1811,NGC_628C
446,1908,NGC_628C
447,1931,NGC_628C
448,1964,NGC_628C
449,1976,NGC_628C
450,1981,NGC_628C
451,1986,NGC_628C
452,1987,NGC_628C
453,1989,NGC_628C
454,2006,NGC_628C
455,2010,NGC_628C
456,2012,NGC_628C
457,2019,NGC_628C
458,2023,NGC_628C
459,2042,NGC_628C
460,2060,NGC_628C
461,2098,NGC_628C
462,2101,NGC_628C
463,2119,NGC_628C
464,2160,NGC_628C
465,2165,NGC_628C
466,2199,NGC_628C
467,2201,NGC_628C
468,2243,NGC_628C
469,2249,NGC_628C
470,2252,NGC_628C
471,2324,NGC_628C
472,2330,NGC_628C
473,2353,NGC_628C
474,2356,NGC_628C
475,2370,NGC_628C
476,2379,NGC_628C
477,2382,NGC_628C
478,2385,NGC_628C
479,2403,NGC_628C
480,2411,NGC_628C
481,2435,NGC_628C
482,2461,NGC_628C
483,2466,NGC_628C
484,2481,NGC_628C
485,2489,NGC_628C
486,2491,NGC_628C
487,2497,NGC_628C
488,2540,NGC_628C
489,2571,NGC_628C
490,2588,NGC_628C
491,2590,NGC_628C
492,2635,NGC_628C
493,2640,NGC_628C
494,2679,NGC_628C
495,2713,NGC_628C
496,2743,NGC_628C
497,2747,NGC_628C
498,2748,NGC_628C
499,2751,NGC_628C
500,2763,NGC_628C
501,2767,NGC_628C
502,2804,NGC_628C
503,2828,NGC_628C
504,2833,NGC_628C
505,2842,NGC_628C
506,2844,NGC_628C
507,2888,NGC_628C
508,2890,NGC_628C
509,2910,NGC_628C
510,2988,NGC_628C
511,3023,NGC_628C
512,3024,NGC_628C
513,3046,NGC_628C
514,3079,NGC_628C
515,3095,NGC_628C
516,3167,NGC_628C
517,3220,NGC_628C
518,3288,NGC_628C
519,3365,NGC_628C
520,3411,NGC_628C
521,3539,NGC_628C
522,3542,NGC_628C
523,3553,NGC_628C
524,3562,NGC_628C
525,3564,NGC_628C
526,3600,NGC_628C
527,3605,NGC_628C
528,3606,NGC_628C
529,3650,NGC_628C
530,1,NGC_1433
531,3,NGC_1433
532,7,NGC_1433
533,14,NGC_1433
534,22,NGC_1433
535,26,NGC_1433
536,43,NGC_1433
537,45,NGC_1433
538,48,NGC_1433
539,59,NGC_1433
540,61,NGC_1433
541,62,NGC_1433
542,70,NGC_1433
543,73,NGC_1433
544,81,NGC_1433
545,90,NGC_1433
546,100,NGC_1433
547,105,NGC_1433
548,108,NGC_1433
549,111,NGC_1433
550,117,NGC_1433
551,118,NGC_1433
552,129,NGC_1433
553,131,NGC_1433
554,136,NGC_1433
555,138,NGC_1433
556,142,NGC_1433
557,145,NGC_1433
558,147,NGC_1433
559,151,NGC_1433
560,152,NGC_1433
561,162,NGC_1433
562,168,NGC_1433
563,169,NGC_1433
564,177,NGC_1433
565,180,NGC_1433
566,185,NGC_1433
567,205,NGC_1433
568,209,NGC_1433
569,220,NGC_1433
570,226,NGC_1433
571,233,NGC_1433
572,243,NGC_1433
573,251,NGC_1433
574,257,NGC_1433
575,260,NGC_1433
576,273,NGC_1433
577,277,NGC_1433
578,295,NGC_1433
579,303,NGC_1433
580,305,NGC_1433
581,308,NGC_1433
582,313,NGC_1433
583,324,NGC_1433
584,325,NGC_1433
585,328,NGC_1433
586,330,NGC_1433
587,332,NGC_1433
588,336,NGC_1433
589,337,NGC_1433
590,338,NGC_1433
591,342,NGC_1433
592,343,NGC_1433
593,345,NGC_1433
594,346,NGC_1433
595,352,NGC_1433
596,357,NGC_1433
597,362,NGC_1433
598,365,NGC_1433
599,367,NGC_1433
600,369,NGC_1433
601,371,NGC_1433
602,375,NGC_1433
603,380,NGC_1433
604,387,NGC_1433
605,396,NGC_1433
606,398,NGC_1433
607,401,NGC_1433
608,403,NGC_1433
609,408,NGC_1433
610,413,NGC_1433
611,414,NGC_1433
612,418,NGC_1433
613,419,NGC_1433
614,430,NGC_1433
615,433,NGC_1433
616,434,NGC_1433
617,436,NGC_1433
618,437,NGC_1433
619,440,NGC_1433
620,441,NGC_1433
621,444,NGC_1433
622,447,NGC_1433
623,453,NGC_1433
624,460,NGC_1433
625,461,NGC_1433
626,464,NGC_1433
627,466,NGC_1433
628,467,NGC_1433
629,469,NGC_1433
630,476,NGC_1433
631,479,NGC_1433
632,488,NGC_1433
633,489,NGC_1433
634,491,NGC_1433
635,492,NGC_1433
636,500,NGC_1433
637,505,NGC_1433
638,510,NGC_1433
639,517,NGC_1433
640,521,NGC_1433
641,523,NGC_1433
642,525,NGC_1433
643,529,NGC_1433
644,530,NGC_1433
645,531,NGC_1433
646,534,NGC_1433
647,546,NGC_1433
648,547,NGC_1433
649,548,NGC_1433
650,550,NGC_1433
651,551,NGC_1433
652,554,NGC_1433
653,555,NGC_1433
654,566,NGC_1433
655,567,NGC_1433
656,568,NGC_1433
657,576,NGC_1433
658,586,NGC_1433
659,587,NGC_1433
660,588,NGC_1433
661,594,NGC_1433
662,595,NGC_1433
663,602,NGC_1433
664,606,NGC_1433
665,621,NGC_1433
666,629,NGC_1433
667,631,NGC_1433
668,633,NGC_1433
669,640,NGC_1433
670,643,NGC_1433
671,645,NGC_1433
672,656,NGC_1433
673,660,NGC_1433
674,664,NGC_1433
675,672,NGC_1433
676,675,NGC_1433
677,687,NGC_1433
678,692,NGC_1433
679,698,NGC_1433
680,700,NGC_1433
681,703,NGC_1433
682,706,NGC_1433
683,709,NGC_1433
684,710,NGC_1433
685,719,NGC_1433
686,723,NGC_1433
687,731,NGC_1433
688,737,NGC_1433
689,741,NGC_1433
690,742,NGC_1433
691,755,NGC_1433
692,757,NGC_1433
693,758,NGC_1433
694,762,NGC_1433
695,763,NGC_1433
696,766,NGC_1433
697,767,NGC_1433
698,778,NGC_1433
699,779,NGC_1433
700,782,NGC_1433
701,791,NGC_1433
702,798,NGC_1433
703,814,NGC_1433
704,815,NGC_1433
705,826,NGC_1433
706,829,NGC_1433
707,832,NGC_1433
708,836,NGC_1433
709,849,NGC_1433
710,851,NGC_1433
711,853,NGC_1433
712,855,NGC_1433
713,859,NGC_1433
714,866,NGC_1433
715,867,NGC_1433
716,875,NGC_1433
717,878,NGC_1433
718,879,NGC_1433
719,880,NGC_1433
720,885,NGC_1433
721,887,NGC_1433
722,892,NGC_1433
723,895,NGC_1433
724,411,NGC_1433
725,416,NGC_1433
726,421,NGC_1433
727,426,NGC_1433
728,432,NGC_1433
729,442,NGC_1433
730,443,NGC_1433
731,445,NGC_1433
732,446,NGC_1433
733,458,NGC_1433
734,462,NGC_1433
735,473,NGC_1433
736,475,NGC_1433
737,480,NGC_1433
738,486,NGC_1433
739,487,NGC_1433
740,490,NGC_1433
741,509,NGC_1433
742,522,NGC_1433
743,527,NGC_1433
744,528,NGC_1433
745,533,NGC_1433
746,535,NGC_1433
747,537,NGC_1433
748,538,NGC_1433
749,540,NGC_1433
750,542,NGC_1433
751,543,NGC_1433
752,545,NGC_1433
753,556,NGC_1433
754,582,NGC_1433
755,591,NGC_1433
756,612,NGC_1433
757,619,NGC_1433
758,646,NGC_1433
759,658,NGC_1433
760,661,NGC_1433
761,668,NGC_1433
762,669,NGC_1433
763,695,NGC_1433
764,697,NGC_1433
765,705,NGC_1433
766,713,NGC_1433
767,736,NGC_1433
768,784,NGC_1433
769,793,NGC_1433
770,794,NGC_1433
